number,title,implementation_count
252,BOSH Script Syntax,1
262,Use of ZRTP in Jingle RTP Sessions,1
263,ECO-XMPP,1
267,Server Buddies,1
268,Incident Handling,1
270,XMPP Compliance Suites 2010,1
273,Stanza Interception and Filtering Technology (SIFT),1
28,No Such XEP,1
289,Federated MUC for Constrained Environments,1
296,Best Practices for Resource Locking,1
301,In-Band Real Time Text,1
305,XMPP Quickstart,1
306,Extensible Status Conditions for Multi-User Chat,1
309,Service Directories,1
318,Best Practices for Client Initiated Presence Probes,1
321,Remote Roster Management,1
322,Efficient XML Interchange (EXI) Format,1
323,Internet of Things - Sensor Data,1
325,Internet of Things - Control,1
330,Pubsub Subscription,1
332,HTTP over XMPP transport,1
336,Data Forms - Dynamic Forms,1
340,COnferences with LIghtweight BRIdging (COLIBRI),1
344,Impact of TLS and DNSSEC on Dialback,1
374,OpenPGP for XMPP Instant Messaging,1
38,Icon Styles,1
404,Mediated Information eXchange (MIX): JID Hidden Channels.,1
414,Cryptographic Hash Function Recommendations for XMPP,1
417,E2E Authentication in XMPP: Certificate Issuance and Revocation,1
430,Inbox,1
432,Simple JSON Messaging,1
438,Best practices for password hashing and storage,1
439,Quick Response,1
44,Full Namespace Support for XML Streams,1
472,Pubsub Social Feed,1
494,Client Access Management,1
495,Happy Eyeballs,1
501,Pubsub Stories,1
502,MUC Activity Indicator,1
93,Roster Item Exchange,1
94,Agent Information,1
,XMPP Transport Layer Security,0
,Jingle In-Band Bytestreams Transport,0
,Calendaring Extensions to Publish-Subscribe,0
,Jingle SOCKS5 Bytestreams Transport Method,0
,XMPP Transport Layer Security,0
,Use of ZRTP in Jingle RTP Sessions,0
,Mandatory-to-Implement Technologies for Jingle RTP Sessions,0
,Server IP Check,0
,File Transfer Thumbnails,0
,Server-based Tic-tac-toe,0
,Instant Gaming,0
,Tic-tac-toe,0
,Out-of-Band Stream Data,0
,Codecs for Jingle RTP Sessions,0
,Stanza Forwarding,0
,Problem Reporting,0
,Multi-User Gaming,0
,Incident Reporting,0
,Server Rosters,0
,Shared BOSH,0
,Muji,0
,Domain Name Assertions,0
,Stanza Interception and Filtering Technology,0
,Design Considerations for Digital Signatures in XMPP,0
,Linked Process Protocol,0
,Jingle Relay Nodes,0
,Entity Reputation,0
,Presence Decloaking,0
,Distributed Multi-User Chat,0
,Message Carbons,0
,Digital Signatures in XMPP,0
,JSON Content Type support,0
,Federated MUC for constrained environments,0
,Shared XML Editing,0
,Moved,0
,XMPP on Mobile Devices,0
,Spim Markers and Reports,0
,Bidirectional Server-to-Server Connections,0
,DMUC3: Distributed MUC,0
,Sensor-Over-XMPP,0
,Account Management,0
,File Transfer Metadata,0
,The 'xmpp.pubsub' URI Scheme,0
,PubSub Since,0
,Multi-User Chat Administration,0
,Jingle SDP Content,0
,User Time Zone,0
,SIP/SDP Over XMPP (SoX),0
,Two-factor user authentication with a shared secret,0
,Buddycloud Channels,0
,Recipient Server Side Notifications Filtering,0
,Internet of Things - Events,0
,Client State Indication,0
,Customizable Message Routing,0
,S2S Components,0
,Namespace Versioning in urn:xmpp,0
,REST with XMPP,0
,OMEMO Encrypted Jingle File Transfer,0
,Mediated Information eXchange (MIX),0
,Multi-User Chat Light,0
,Quality of Service,0
,Notification Inbox,0
,Content Types in Messages,0
,JID Mention,0
,Multi-stage IBR,0
,Token-based reconnection,0
,Instant Stream Resumption,0
,User Rating,0
,Extensible SASL Profile,0
,Atomically Compare-And-Publish PubSub Items,0
,Body Markup Hints,0
,Instant Stream Resumption,0
,User Avatar to vCard-Based Avatars Conversion,0
,Client Key Support,0
,Multi-Factor Authentication with TOTP,0
,IM Routing-NG,0
,XMPP Connections across HTTPS (HACX),0
,Terms of Services,0
,Best practices for GDPR compliant deployment of XMPP,0
,MUC Self-Ping (Schrödinger's Chat),0
,File Sharing Notifications,0
,Bookmarks Conversion,0
,Simple Buttons,0
,XMPP Compliance Suites 2019,0
,XMPP Compliance Suites 2020,0
,Order-By,0
,Cryptographic Hash Function Recommendations for XMPP,0
,E2E Authentication in XMPP,0
,E2E Authentication in XMPP: CA Requirements,0
,XMPP Over RELOAD (XOR),0
,DNS Queries over XMPP (DoX),0
,E2E Authentication in XMPP: Certificate Issuance and Revocation,0
,Automatic Trust Transfer (ATT),0
,Improving Baseline Security in XMPP,0
,Stanza Content Encryption,0
,Anonymous unique occupant identifiers for MUCs,0
,Message Reactions,0
,Message Fastening,0
,Authorization Tokens,0
,MAM Fastening Collation,0
,Inbox,0
,Special Interests Group End to End Encryption,0
,Fallback Indication,0
,Full Text Search in MAM,0
,Implicit XMPP WebSocket Endpoints,0
,Simple JSON Messaging,0
,Trust Messages,0
,Reminders,0
,Extended Channel Search,0
,MUC presence versioning,0
,Room Activity Indicators,0
,Best practices for password hashing and storage,0
,Quick Response,0
,Channel Binding Pseudomechanisms,0
,Bookmark Pinning,0
,SASL Channel-Binding Type Capability,0
,XMPP Compliance Suites 2021,0
,Pre-Authenticated In-Band Registration,0
,File metadata element,0
,Stickers,0
,Automatic Trust Management (ATM),0
,Stateless file sharing,0
,Encryption for stateless file sharing,0
,Stanza Multiplexing,0
,MUC Mention Notifications,0
,DOAP usage in XMPP,0
,OMEMO Media sharing,0
,Service Outage Status,0
,XMPP Compliance Suites 2022,0
,Content Rating Labels,0
,Moved 2.0,0
,Pre-auth Registration Key Generation and Validation,0
,Pubsub Caching Hints,0
,Disco Feature Attachment,0
,PubSub Namespaces,0
,Compatibility Fallbacks,0
,Call Invites,0
,Message Replies,0
,PubSub Type Filtering,0
,MUC Affiliations Versioning,0
,Pubsub Public Subscriptions,0
,Ephemeral Messages,0
,XMPP over QUIC,0
,WebSocket S2S,0
,Pubsub Attachments,0
,Events,0
,PubSub Social Feed,0
,SASL SCRAM Downgrade Protection,0
,OpenPGP for XMPP Pubsub,0
,Fast Authentication Streamlining Tokens,0
,Stream Limits Advertisement,0
,Pubsub Signing,0
,Pubsub Signing: OpenPGP Profile,0
,Pubsub Targeted Encryption,0
,SASL Upgrade Tasks,0
,XMPP Compliance Suites 2023,0
,MUC Avatars,0
,Communicate & Ask to AI,0
,Reporting Account Affiliations,0
,MUC Token Invite,0
,HTTP Online Meetings,0
,Host Meta 2 - One Method To Rule Them All,0
,PubSub Server Information,0
,Chat notification settings,0
,MUC Slow Mode,0
,Message Displayed Synchronization,0
,Jingle Remote Control,0
,WebXDC,0
,Jingle Audio/Video Conferences,0
,OAuth Client Login,0
,Client Access Management,0
,Happy Eyeballs,0
,Pubsub Node Relationships,0
,Pubsub Extended Subscriptions,0
,Pubsub Extended Discovery,0
,Pubsub File Sharing,0
,MUC Activity Indicator,0
,Pubsub Stories,0
,GRE Encrypter: OpenPGP,0
,Gateway Relayed Encryption,0
,GRE Formatter: MIME,0
,Server-side spaces,0
,Data Policy,0
,Data Forms File Input Element,0
1,XMPP Extension Protocols,0
10,Whiteboarding SIG,0
101,HTTP Authentication using Jabber Tickets,0
102,Security Extensions,0
103,URL Address Information,0
104,HTTP Scheme for URL Data,0
105,Tree Transfer Stream Initiation Profile,0
109,Out-of-Office Messages,0
110,Generic Maps,0
111,A Transport for Initiating and Negotiating Sessions (TINS),0
112,User Physical Location,0
116,Encrypted Session Negotiation,0
117,Intermediate IM Protocol Suite,0
119,Extended Presence Protocol Suite,0
120,Infobits,0
121,Dublin Core Infobits Mapping,0
123,Entity Metadata,0
125,vCard Infobits Mapping,0
127,Common Alerting Protocol (CAP) Over XMPP,0
130,Waiting Lists,0
132,Presence Obtained via Kinesthetic Excitation (POKE),0
134,XMPP Design Guidelines,0
135,File Sharing,0
137,Publishing Stream Initiation Requests,0
139,Security SIG,0
14,Message Tone,0
140,Shared Groups,0
141,Data Forms Layout,0
143,Guidelines for Authors of XMPP Extension Protocols,0
149,Time Periods,0
15,Account Transfer,0
150,Use of Entity Tags in XMPP Extensions,0
151,Virtual Presence,0
154,User Profile,0
155,Stanza Session Negotiation,0
161,Abuse Reporting,0
164,vCard Filtering,0
165,Best Practices to Discourage JID Mimicking,0
168,Resource Application Priority,0
169,Twas The Night Before Christmas (Jabber Version),0
17,Naive Packet Framing Protocol,0
171,Language Translation,0
173,Pubsub Subscription Storage,0
174,Serverless Messaging,0
179,Jingle IAX Transport Method,0
180,Jingle Video via RTP,0
181,Jingle DTMF,0
183,Jingle Telepathy Transport,0
187,Offline Encrypted Sessions,0
188,Cryptographic Design of Encrypted Sessions,0
19,Streamlining the SIGs,0
192,Proposed Stream Feature Improvements,0
193,Proposed Resource Binding Improvements,0
2,Special Interest Groups (SIGs),0
204,Collaborative Data Objects,0
207,XMPP Eventing via Pubsub,0
208,Bootstrapping Implementation of Jingle,0
21,Jabber Event Notification Service (ENS),0
210,Requirements for Encrypted Sessions,0
214,File Repository and Sharing,0
216,XMPP Intermediate IM Server 2008,0
217,Simplified Encrypted Session Negotiation,0
218,Bootstrapping Implementation of Encrypted Sessions,0
219,Hop Check,0
226,Message Stanza Profiles,0
228,Requirements for Shared Editing,0
229,Stream Compression with LZW,0
230,Service Discovery Notifications,0
236,Abuse Reporting,0
238,XMPP Protocol Flows for Inter-Domain Federation,0
239,Binary XMPP,0
24,Publish/Subscribe,0
240,Auto-Discovery of JabberIDs,0
241,Encryption of Archived Messages,0
243,XMPP Server Compliance 2009,0
244,IO Data,0
246,End-to-End XML Streams,0
247,Jingle XML Streams,0
250,C2C Authentication Using TLS,0
254,PubSub Queueing,0
255,Location Query,0
259,Message Mine-ing,0
26,Internationalization (I18N),0
265,Out-of-Band Stream Data,0
266,Codecs for Jingle Audio,0
269,Jingle Early Media,0
271,XMPP Nodes,0
274,Design Considerations for Digital Signatures in XMPP,0
275,Entity Reputation,0
276,Presence Decloaking,0
281,DMUC1: Distributed Multi-User Chat,0
282,DMUC2: Distributed MUC,0
285,Encapsulating Digital Signatures in XMPP,0
287,Spim Markers and Reports,0
29,Definition of Jabber Identifiers (JIDs),0
290,Encapsulated Digital Signatures in XMPP,0
291,Service Delegation,0
295,JSON Encodings for XMPP,0
299,Codecs for Jingle Video,0
3,Proxy Accept Socket Service (PASS),0
303,Commenting,0
304,Whitespace Keepalive Negotiation,0
31,A Framework For Securing Jabber Conversations,0
310,Presence State Annotations,0
311,MUC Fast Reconnect,0
312,PubSub Since,0
314,Security Labels in PubSub,0
315,Data Forms XML Element,0
316,MUC Eventing Protocol,0
32,Jabber URI Scheme,0
324,Internet of Things - Provisioning,0
326,Internet of Things - Concentrators,0
327,Rayo,0
329,File Information Sharing,0
331,Data Forms - Color Field Types,0
337,Event Logging over XMPP,0
34,SASL Integration,0
341,Rayo CPA,0
342,Rayo Fax,0
345,Form of Membership Applications,0
346,Form Discovery and Publishing,0
347,Internet of Things - Discovery,0
348,Signing Forms,0
349,Rayo Clustering,0
35,SSL/TLS Integration,0
350,Data Forms Geolocation Element,0
351,Recipient Server Side Notifications Filtering,0
354,Customizable Message Routing,0
358,Publishing Available Jingle Sessions,0
36,Pub-Sub Subscriptions,0
360,Nonzas (are not Stanzas),0
361,Zero Handshake Server to Server Protocol,0
362,Raft over XMPP,0
365,Server to Server communication over STANAG 5066 ARQ,0
366,Entity Versioning,0
37,DSPS - Data Stream Proxy Service,0
370,Jingle HTTP Transport Method,0
376,Pubsub Account Management,0
378,OTR Discovery,0
381,Internet of Things Special Interest Group (IoT SIG),0
383,Burner JIDs,0
389,Extensible In-Band Registration,0
395,Atomically Compare-And-Publish PubSub Items,0
397,Instant Stream Resumption,0
399,Client Key Support,0
40,Jabber Robust Publish-Subscribe,0
400,Multi-Factor Authentication with TOTP,0
408,Mediated Information eXchange (MIX): Co-existence with MUC,0
409,IM Routing-NG,0
41,Reliable Entity Link,0
412,XMPP Compliance Suites 2019,0
413,Order-By,0
415,XMPP Over RELOAD (XOR),0
416,E2E Authentication in XMPP,0
418,DNS Queries over XMPP (DoX),0
419,Improving Baseline Security in XMPP,0
42,Jabber OOB Broadcast Service (JOBS),0
427,MAM Fastening Collation,0
429,Special Interests Group End to End Encryption,0
43,Jabber Database Access,0
435,Reminders,0
436,MUC presence versioning,0
442,Pubsub Message Archive Management,0
443,XMPP Compliance Suites 2021,0
451,Stanza Multiplexing,0
452,MUC Mention Notifications,0
456,Content Rating Labels,0
457,Message Fancying,0
458,Community Code of Conduct,0
459,XMPP Compliance Suites 2022,0
46,DTCP,0
460,Pubsub Caching Hints,0
462,PubSub Type Filtering,0
463,MUC Affiliations Versioning,0
464,Cookies,0
465,Pubsub Public Subscriptions,0
466,Ephemeral Messages,0
467,XMPP over QUIC,0
468,WebSocket S2S,0
470,Pubsub Attachments,0
471,Events,0
473,OpenPGP for XMPP Pubsub,0
475,Pubsub Signing,0
476,Pubsub Signing: OpenPGP Profile,0
477,Pubsub Targeted Encryption,0
479,XMPP Compliance Suites 2023,0
481,Content Types in Messages,0
487,Host Meta 2 - One Method To Rule Them All,0
488,MUC Token Invite,0
489,Reporting Account Affiliations,0
491,WebXDC,0
493,OAuth Client Login,0
496,Pubsub Node Relationships,0
497,Pubsub Extended Subscriptions,0
498,Pubsub File Sharing,0
499,Pubsub Extended Discovery,0
5,Jabber Interest Groups,0
500,MUC Slow Mode,0
503,Server-side spaces,0
504,Data Policy,0
505,Data Forms File Input Element,0
51,Connection Transfer,0
52,File Transfer,0
53,XMPP Registrar Function,0
56,Business Data Interchange,0
57,Extended Roster,0
58,Multi-User Text Editing,0
6,Profiles,0
61,Shared Notes,0
62,Packet Filtering,0
63,Basic Filtering Operations,0
64,XPath Filtering,0
67,Stock Data Transmission,0
69,Compliance SIG,0
7,Conferencing SIG,0
72,SOAP Over XMPP,0
74,Simple Access Control,0
75,Jabber Object Access Protocol (JOAP),0
76,Malicious Stanzas,0
8,IQ-Based Avatars,0
81,Jabber MIME Type,0
87,Stream Initiation,0
88,Client Webtabs,0
89,Generic Alerts,0
97,iCal Envelope,0
98,Enhanced Private XML Storage,0
99,IQ Query Action Protocol,0
